Latitude (decimal degrees):	34.057
Longitude (decimal degrees):	-6.768
Elevation (m):	74
Radiation database:	PVGIS-SARAH3


Slope: 32 deg. (optimum)
Azimuth: 3 deg. (optimum)
Nominal power of the PV system (CIS) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200227:0409,0.0,0.0,0.0,10.02,1.59,0.0
20200227:0509,0.0,0.0,0.0,9.45,1.45,0.0
20200227:0609,0.0,0.0,0.0,8.88,1.31,0.0
20200227:0709,0.0,0.0,0.0,8.46,1.52,0.0
20200227:0809,214.35,285.09,13.3,9.84,1.38,0.0
20200227:0909,438.21,546.1,24.56,12.45,1.59,0.0
20200227:1009,621.77,783.14,34.57,15.14,2.14,0.0
20200227:1109,733.77,947.84,42.46,17.3,2.34,0.0
20200227:1209,743.66,969.59,46.98,19.1,2.62,0.0
20200227:1309,791.31,1042.48,47.04,20.36,2.97,0.0
20200227:1409,752.85,982.86,42.61,20.9,3.1,0.0
20200227:1509,643.8,822.46,34.8,20.81,3.31,0.0
20200227:1609,474.75,599.69,24.82,20.13,3.45,0.0
20200227:1709,250.3,333.54,13.58,18.8,3.24,0.0
20200227:1809,0.0,1.88,1.62,16.93,2.76,0.0
20200227:1909,0.0,0.0,0.0,15.28,2.48,0.0
20200227:2009,0.0,0.0,0.0,14.3,2.14,0.0
20200227:2109,0.0,0.0,0.0,13.67,1.86,0.0
20200227:2209,0.0,0.0,0.0,13.01,1.66,0.0
20200227:2309,0.0,0.0,0.0,12.36,1.45,0.0
20200228:0009,0.0,0.0,0.0,11.72,1.31,0.0
20200228:0109,0.0,0.0,0.0,10.81,1.38,0.0
20200228:0209,0.0,0.0,0.0,10.07,1.59,0.0
20200228:0309,0.0,0.0,0.0,9.7,1.79,0.0
20200228:0409,0.0,0.0,0.0,9.3,1.79,0.0
20200228:0509,0.0,0.0,0.0,9.17,1.86,0.0
20200228:0609,0.0,0.0,0.0,8.95,1.79,0.0
20200228:0709,0.0,0.0,0.0,8.45,1.72,0.0
20200228:0809,217.59,288.94,13.56,9.56,1.24,0.0
20200228:0909,437.97,553.69,24.85,14.31,0.69,0.0
20200228:1009,607.37,791.62,34.9,18.17,0.28,0.0
20200228:1109,710.09,964.81,42.82,21.18,0.21,0.0
20200228:1209,724.52,988.74,47.36,23.36,0.83,0.0
20200228:1309,764.94,1047.22,47.4,24.73,1.59,0.0
20200228:1409,722.47,968.74,42.94,25.11,2.14,0.0
20200228:1509,594.7,774.35,35.07,24.62,2.41,0.0
20200228:1609,385.06,496.58,25.05,23.37,2.34,0.0
20200228:1709,101.67,146.86,13.78,21.64,1.86,0.0
20200228:1809,0.73,5.64,1.81,19.42,1.52,0.0
20200228:1909,0.0,0.0,0.0,17.41,0.83,0.0
20200228:2009,0.0,0.0,0.0,16.06,0.76,0.0
20200228:2109,0.0,0.0,0.0,15.02,1.86,0.0
20200228:2209,0.0,0.0,0.0,14.69,1.79,0.0
20200228:2309,0.0,0.0,0.0,13.95,1.31,0.0
20200229:0009,0.0,0.0,0.0,13.77,1.03,0.0
20200229:0109,0.0,0.0,0.0,12.49,1.38,0.0
20200229:0209,0.0,0.0,0.0,11.85,1.45,0.0
20200229:0309,0.0,0.0,0.0,10.89,1.59,0.0
20200229:0409,0.0,0.0,0.0,10.41,1.72,0.0
20200229:0509,0.0,0.0,0.0,10.16,1.93,0.0
20200229:0609,0.0,0.0,0.0,9.95,1.86,0.0
20200229:0709,0.31,1.88,1.57,10.25,1.72,0.0
20200229:0809,213.9,287.42,13.56,12.16,1.24,0.0
20200229:0909,146.85,193.8,24.85,14.91,1.72,0.0
20200229:1009,368.47,465.96,34.9,16.79,1.66,0.0
20200229:1109,468.63,595.68,42.82,18.33,1.86,0.0
20200229:1209,491.29,625.84,47.36,19.5,2.48,0.0
20200229:1309,286.42,369.38,47.4,19.94,3.1,0.0
20200229:1409,537.61,681.86,42.94,20.04,3.38,0.0
20200229:1509,613.93,776.84,35.07,19.75,3.66,0.0
20200229:1609,389.78,490.29,25.05,18.89,3.79,0.0
20200229:1709,115.84,159.67,13.78,17.33,3.45,0.0
20200229:1809,0.85,4.7,1.81,15.96,2.69,0.0
20200229:1909,0.0,0.0,0.0,14.82,2.62,0.0
20200229:2009,0.0,0.0,0.0,14.19,1.79,0.0
20200229:2109,0.0,0.0,0.0,13.74,1.38,0.0
20200229:2209,0.0,0.0,0.0,12.99,1.59,0.0
20200229:2309,0.0,0.0,0.0,12.71,1.66,0.0
20200301:0009,0.0,0.0,0.0,12.6,2.0,0.0
20200301:0109,0.0,0.0,0.0,12.6,2.34,0.0
20200301:0209,0.0,0.0,0.0,12.48,2.34,0.0
20200301:0309,0.0,0.0,0.0,12.21,1.93,0.0
20200301:0409,0.0,0.0,0.0,12.21,2.0,0.0
20200301:0509,0.0,0.0,0.0,12.61,2.48,0.0
20200301:0609,0.0,0.0,0.0,12.8,2.21,0.0
20200301:0709,1.35,4.7,1.83,12.29,2.14,0.0
20200301:0809,68.84,97.07,13.83,13.29,2.14,0.0
20200301:0909,417.5,523.15,25.14,15.29,2.34,0.0
20200301:1009,390.27,491.95,35.22,17.1,2.14,0.0
20200301:1109,653.1,846.43,43.18,18.96,1.66,0.0
20200301:1209,699.06,909.8,47.74,19.87,2.41,0.0
20200301:1309,750.12,980.77,47.77,19.91,2.76,0.0
20200301:1409,708.89,924.62,43.26,20.36,2.34,0.0
20200301:1509,596.8,767.97,35.34,20.77,2.0,0.0
20200301:1609,370.75,472.72,25.28,20.64,2.62,0.0
20200301:1709,205.46,276.61,13.98,19.34,2.9,0.0
20200301:1809,1.42,6.58,1.99,17.64,2.21,0.0
20200301:1909,0.0,0.0,0.0,16.11,1.45,0.0
20200301:2009,0.0,0.0,0.0,15.29,1.03,0.0
20200301:2109,0.0,0.0,0.0,14.63,1.17,0.0
20200301:2209,0.0,0.0,0.0,14.19,1.66,0.0
20200301:2309,0.0,0.0,0.0,14.22,1.66,0.0
20200302:0009,0.0,0.0,0.0,14.34,1.72,0.0
20200302:0109,0.0,0.0,0.0,14.19,1.86,0.0
20200302:0209,0.0,0.0,0.0,14.0,1.86,0.0
20200302:0309,0.0,0.0,0.0,14.04,2.07,0.0
20200302:0409,0.0,0.0,0.0,13.85,2.28,0.0
20200302:0509,0.0,0.0,0.0,13.78,2.14,0.0
20200302:0609,0.0,0.0,0.0,13.72,2.34,0.0
20200302:0709,1.53,5.64,2.08,14.22,2.69,0.0
20200302:0809,145.58,197.38,14.1,14.61,2.9,0.0
20200302:0909,314.53,394.77,25.44,15.85,3.79,0.0
20200302:1009,525.22,653.52,35.55,17.22,4.14,0.0
20200302:1109,394.4,495.67,43.54,18.54,4.41,0.0
20200302:1209,546.7,688.82,48.12,19.35,4.34,0.0
20200302:1309,649.34,826.18,48.14,20.23,4.34,0.0
20200302:1409,232.43,302.83,43.58,20.51,4.34,0.0
20200302:1509,441.76,556.4,35.61,20.36,4.14,0.0
20200302:1609,378.35,478.07,25.51,19.98,3.86,0.0
20200302:1709,178.53,240.96,14.18,18.92,3.59,0.0
20200302:1809,1.88,7.52,2.17,17.58,2.97,0.0
20200302:1909,0.0,0.0,0.0,16.28,2.14,0.0
20200302:2009,0.0,0.0,0.0,15.47,1.31,0.0
20200302:2109,0.0,0.0,0.0,14.79,0.69,0.0
20200302:2209,0.0,0.0,0.0,15.16,0.28,0.0
20200302:2309,0.0,0.0,0.0,15.12,0.28,0.0
20200303:0009,0.0,0.0,0.0,14.4,0.76,0.0
20200303:0109,0.0,0.0,0.0,14.35,1.1,0.0
20200303:0209,0.0,0.0,0.0,14.27,1.17,0.0
20200303:0309,0.0,0.0,0.0,14.46,1.1,0.0
20200303:0409,0.0,0.0,0.0,14.22,0.9,0.0
20200303:0509,0.0,0.0,0.0,13.72,0.9,0.0
20200303:0609,0.0,0.0,0.0,14.07,0.55,0.0
20200303:0709,4.73,12.74,2.34,14.25,0.21,0.0
20200303:0809,183.28,248.79,14.37,14.24,0.48,0.0
20200303:0909,411.66,523.41,25.73,16.25,0.83,0.0
20200303:1009,447.97,569.4,35.88,17.48,1.1,0.0
20200303:1109,694.14,910.81,43.9,18.92,1.31,0.0
20200303:1209,731.62,970.09,48.51,20.11,1.66,0.0
20200303:1309,752.04,998.33,48.51,21.0,2.14,0.0
20200303:1409,714.98,934.48,43.91,21.17,2.62,0.0
20200303:1509,577.85,736.66,35.88,20.81,2.97,0.0
20200303:1609,422.36,534.12,25.74,19.9,3.24,0.0
20200303:1709,224.03,298.88,14.38,18.51,3.24,0.0
20200303:1809,2.01,7.52,2.34,16.88,2.83,0.0
20200303:1909,0.0,0.0,0.0,15.43,2.21,0.0
20200303:2009,0.0,0.0,0.0,14.43,2.14,0.0
20200303:2109,0.0,0.0,0.0,13.74,2.07,0.0
20200303:2209,0.0,0.0,0.0,13.16,2.0,0.0
20200303:2309,0.0,0.0,0.0,12.67,2.0,0.0
20200304:0009,0.0,0.0,0.0,12.24,2.0,0.0
20200304:0109,0.0,0.0,0.0,11.86,2.0,0.0
20200304:0209,0.0,0.0,0.0,11.56,2.0,0.0
20200304:0309,0.0,0.0,0.0,11.26,2.0,0.0
20200304:0409,0.0,0.0,0.0,11.02,1.93,0.0
20200304:0509,0.0,0.0,0.0,10.86,2.0,0.0
20200304:0609,0.0,0.0,0.0,10.75,2.14,0.0
20200304:0709,8.1,18.75,2.6,10.96,2.28,0.0
20200304:0809,207.27,275.75,14.65,12.07,1.93,0.0
20200304:0909,431.49,539.2,26.03,14.67,2.41,0.0
20200304:1009,611.66,770.85,36.21,16.78,2.76,0.0
20200304:1109,725.53,939.54,44.27,18.53,2.55,0.0
20200304:1209,721.36,942.03,48.9,20.12,2.62,0.0
20200304:1309,781.98,1035.92,48.88,21.31,2.83,0.0
20200304:1409,728.36,949.51,44.23,21.86,3.31,0.0
20200304:1509,620.18,791.68,36.15,21.68,3.66,0.0
20200304:1609,455.26,576.44,25.97,20.94,3.66,0.0
20200304:1709,224.7,301.23,14.57,19.71,3.38,0.0
20200304:1809,6.41,18.26,2.52,17.94,2.76,0.0
20200304:1909,0.0,0.0,0.0,15.93,2.69,0.0
20200304:2009,0.0,0.0,0.0,14.83,2.34,0.0
20200304:2109,0.0,0.0,0.0,14.09,1.93,0.0
20200304:2209,0.0,0.0,0.0,13.44,1.59,0.0
20200304:2309,0.0,0.0,0.0,12.89,1.31,0.0
20200305:0009,0.0,0.0,0.0,12.25,1.24,0.0
20200305:0109,0.0,0.0,0.0,11.71,1.17,0.0
20200305:0209,0.0,0.0,0.0,11.49,1.17,0.0
20200305:0309,0.0,0.0,0.0,11.11,1.17,0.0
20200305:0409,0.0,0.0,0.0,10.06,1.24,0.0
20200305:0509,0.0,0.0,0.0,9.37,1.31,0.0
20200305:0609,0.0,0.0,0.0,9.6,1.31,0.0
20200305:0709,4.92,10.34,2.86,10.38,0.97,0.0
20200305:0809,80.24,110.76,14.93,12.12,0.76,0.0
20200305:0909,98.39,133.96,26.34,13.9,1.03,0.0
20200305:1009,77.05,109.02,36.54,15.91,1.86,0.0
20200305:1109,154.93,205.83,44.64,16.68,2.0,0.0
20200305:1209,143.66,192.67,49.29,17.44,2.28,0.0
20200305:1309,684.63,879.15,49.25,17.9,2.76,0.0
20200305:1409,700.85,899.21,44.55,18.12,2.9,0.0
20200305:1509,522.36,657.21,36.42,17.98,2.9,0.0
20200305:1609,169.3,223.23,26.19,17.83,3.03,0.0
20200305:1709,38.09,60.15,14.77,17.15,2.83,0.0
20200305:1809,1.2,5.64,2.7,16.37,1.93,0.0
20200305:1909,0.0,0.0,0.0,15.98,1.59,0.0
20200305:2009,0.0,0.0,0.0,15.75,1.66,0.0
20200305:2109,0.0,0.0,0.0,15.65,2.48,0.0
20200305:2209,0.0,0.0,0.0,15.25,3.38,0.0
20200305:2309,0.0,0.0,0.0,14.77,3.17,0.0
20200306:0009,0.0,0.0,0.0,14.24,2.76,0.0
20200306:0109,0.0,0.0,0.0,13.52,2.55,0.0
20200306:0209,0.0,0.0,0.0,13.07,2.48,0.0
20200306:0309,0.0,0.0,0.0,13.01,2.21,0.0
20200306:0409,0.0,0.0,0.0,12.95,1.79,0.0
20200306:0509,0.0,0.0,0.0,12.71,1.79,0.0
20200306:0609,0.0,0.0,0.0,12.64,1.72,0.0
20200306:0709,12.31,28.84,3.13,12.59,1.93,0.0
20200306:0809,143.8,192.81,15.21,13.2,2.0,0.0
20200306:0909,442.83,550.61,26.64,14.43,3.1,0.0
20200306:1009,523.79,651.23,36.88,15.21,3.24,0.0
20200306:1109,724.61,924.82,45.01,16.04,2.9,0.0
20200306:1209,724.79,932.04,49.68,16.57,2.69,0.0
20200306:1309,793.25,1033.99,49.62,17.12,2.76,0.0
20200306:1409,733.29,946.21,44.87,17.44,2.62,0.0
20200306:1509,631.07,801.37,36.69,17.64,2.55,0.0
20200306:1609,463.08,580.91,26.41,17.49,3.03,0.0
20200306:1709,237.85,313.99,14.96,16.81,3.38,0.0
20200306:1809,12.44,29.32,2.87,15.63,2.69,0.0
20200306:1909,0.0,0.0,0.0,14.43,2.48,0.0
20200306:2009,0.0,0.0,0.0,13.62,2.34,0.0
20200306:2109,0.0,0.0,0.0,13.05,2.07,0.0
20200306:2209,0.0,0.0,0.0,12.57,2.0,0.0
20200306:2309,0.0,0.0,0.0,11.99,1.86,0.0
20200307:0009,0.0,0.0,0.0,11.33,1.59,0.0
20200307:0109,0.0,0.0,0.0,10.63,1.59,0.0
20200307:0209,0.0,0.0,0.0,10.06,1.72,0.0
20200307:0309,0.0,0.0,0.0,9.75,1.86,0.0
20200307:0409,0.0,0.0,0.0,9.37,1.93,0.0
20200307:0509,0.0,0.0,0.0,9.27,1.93,0.0
20200307:0609,0.0,0.0,0.0,9.09,1.79,0.0
20200307:0709,15.31,30.71,3.4,8.87,1.79,0.0
20200307:0809,218.94,288.94,15.49,10.41,1.03,0.0
20200307:0909,439.27,551.16,26.95,14.0,1.45,0.0
20200307:1009,618.41,782.55,37.22,15.71,2.0,0.0
20200307:1109,737.82,956.72,45.39,17.21,2.21,0.0
20200307:1209,727.34,944.34,50.07,18.43,2.62,0.0
20200307:1309,795.9,1045.49,50.0,19.23,2.97,0.0
20200307:1409,749.77,971.25,45.2,19.55,3.31,0.0
20200307:1509,639.12,810.41,36.95,19.48,3.66,0.0
20200307:1609,465.43,585.05,26.63,19.11,3.79,0.0
20200307:1709,239.25,317.76,15.15,18.37,3.59,0.0
20200307:1809,12.79,30.28,3.05,17.01,2.83,0.0
20200307:1909,0.0,0.0,0.0,15.48,2.97,0.0
20200307:2009,0.0,0.0,0.0,14.59,2.9,0.0
20200307:2109,0.0,0.0,0.0,14.03,2.69,0.0
20200307:2209,0.0,0.0,0.0,13.61,2.48,0.0
20200307:2309,0.0,0.0,0.0,13.26,2.28,0.0
20200308:0009,0.0,0.0,0.0,12.75,2.14,0.0
20200308:0109,0.0,0.0,0.0,12.17,2.07,0.0
20200308:0209,0.0,0.0,0.0,11.61,2.0,0.0
20200308:0309,0.0,0.0,0.0,11.1,1.93,0.0
20200308:0409,0.0,0.0,0.0,10.76,2.07,0.0
20200308:0509,0.0,0.0,0.0,10.51,2.28,0.0
20200308:0609,0.0,0.0,0.0,10.31,2.34,0.0
20200308:0709,17.71,36.54,3.67,10.07,2.48,0.0
20200308:0809,226.43,298.76,15.77,11.55,2.0,0.0
20200308:0909,446.11,560.6,27.25,15.4,2.0,0.0
20200308:1009,625.45,799.04,37.56,18.51,2.28,0.0
20200308:1109,743.11,974.05,45.76,20.91,2.76,0.0
20200308:1209,728.4,955.3,50.46,22.57,3.38,0.0
20200308:1309,802.35,1064.65,50.37,23.42,3.86,0.0
20200308:1409,750.07,982.97,45.52,23.54,3.93,0.0
20200308:1509,636.3,814.97,37.22,22.89,4.14,0.0
20200308:1609,471.3,596.58,26.85,21.59,4.28,0.0
20200308:1709,242.65,324.0,15.34,19.8,3.79,0.0
20200308:1809,15.07,35.76,3.22,17.93,2.97,0.0
20200308:1909,0.0,0.0,0.0,16.33,2.97,0.0
20200308:2009,0.0,0.0,0.0,15.3,2.83,0.0
20200308:2109,0.0,0.0,0.0,14.67,2.76,0.0
20200308:2209,0.0,0.0,0.0,14.27,2.21,0.0
20200308:2309,0.0,0.0,0.0,13.72,1.03,0.0
20200309:0009,0.0,0.0,0.0,12.06,1.1,0.0
20200309:0109,0.0,0.0,0.0,12.32,0.48,0.0
20200309:0209,0.0,0.0,0.0,12.95,0.76,0.0
20200309:0309,0.0,0.0,0.0,11.95,1.24,0.0
20200309:0409,0.0,0.0,0.0,10.47,1.72,0.0
20200309:0509,0.0,0.0,0.0,11.82,1.38,0.0
20200309:0609,0.0,0.0,0.0,11.2,1.38,0.0
20200309:0709,20.43,40.38,3.94,8.56,1.72,0.0
20200309:0809,203.87,271.1,16.06,12.1,0.55,0.0
20200309:0909,442.95,563.68,27.56,15.33,0.41,0.0
20200309:1009,624.37,801.34,37.9,17.82,1.59,0.0
20200309:1109,735.64,970.56,46.14,19.46,1.72,0.0
20200309:1209,725.33,959.24,50.86,20.9,2.07,0.0
20200309:1309,790.05,1058.44,50.75,21.78,2.41,0.0
20200309:1409,737.84,970.44,45.83,22.03,2.83,0.0
20200309:1509,630.96,809.06,37.48,21.56,3.24,0.0
20200309:1609,461.81,584.64,27.07,20.46,3.45,0.0
20200309:1709,241.25,321.44,15.53,18.87,3.31,0.0
20200309:1809,15.53,35.63,3.39,17.1,2.62,0.0
20200309:1909,0.0,0.0,0.0,15.52,2.21,0.0
20200309:2009,0.0,0.0,0.0,14.45,1.72,0.0
20200309:2109,0.0,0.0,0.0,13.63,1.45,0.0
20200309:2209,0.0,0.0,0.0,12.87,1.59,0.0
20200309:2309,0.0,0.0,0.0,12.3,1.79,0.0
20200310:0009,0.0,0.0,0.0,11.5,1.72,0.0
20200310:0109,0.0,0.0,0.0,10.97,1.72,0.0
20200310:0209,0.0,0.0,0.0,10.51,1.79,0.0
20200310:0309,0.0,0.0,0.0,10.13,1.79,0.0
20200310:0409,0.0,0.0,0.0,9.67,1.72,0.0
20200310:0509,0.0,0.0,0.0,9.11,1.52,0.0
20200310:0609,0.0,0.0,0.0,9.0,1.45,0.0
20200310:0709,21.55,41.19,4.21,8.35,1.59,0.0
20200310:0809,225.46,298.57,16.35,11.37,0.83,0.0
20200310:0909,440.44,558.63,27.87,15.59,0.83,0.0
20200310:1009,614.45,789.97,38.24,18.44,1.52,0.0
20200310:1109,725.14,956.45,46.52,20.66,1.93,0.0
20200310:1209,730.03,967.21,51.26,22.47,2.48,0.0
20200310:1309,780.36,1042.84,51.12,23.74,3.03,0.0
20200310:1409,724.93,954.87,46.15,24.43,3.38,0.0
20200310:1509,619.89,801.01,37.74,24.55,3.59,0.0
20200310:1609,452.77,581.46,27.29,24.19,3.38,0.0
20200310:1709,228.72,311.65,15.72,22.99,3.03,0.0
20200310:1809,14.25,35.61,3.56,20.8,2.69,0.0
20200310:1909,0.0,0.0,0.0,19.48,2.55,0.0
20200310:2009,0.0,0.0,0.0,18.64,2.41,0.0
20200310:2109,0.0,0.0,0.0,18.25,2.55,0.0
20200310:2209,0.0,0.0,0.0,18.04,2.69,0.0
20200310:2309,0.0,0.0,0.0,17.75,2.69,0.0
20200311:0009,0.0,0.0,0.0,16.95,2.34,0.0
20200311:0109,0.0,0.0,0.0,15.22,2.14,0.0
20200311:0209,0.0,0.0,0.0,14.22,2.07,0.0
20200311:0309,0.0,0.0,0.0,13.52,2.14,0.0
20200311:0409,0.0,0.0,0.0,12.97,2.28,0.0
20200311:0509,0.0,0.0,0.0,12.65,2.41,0.0
20200311:0609,0.0,0.0,0.0,12.6,2.48,0.0
20200311:0709,21.65,45.18,4.49,12.57,2.41,0.0
20200311:0809,224.95,300.2,16.64,14.35,1.93,0.0
20200311:0909,441.16,562.44,28.18,18.42,1.52,0.0
20200311:1009,603.77,792.18,38.59,22.42,1.1,0.0
20200311:1109,705.26,958.47,46.89,25.27,1.17,0.0
20200311:1209,706.27,962.94,51.65,26.97,1.66,0.0
20200311:1309,748.86,1023.25,51.49,27.61,2.34,0.0
20200311:1409,713.84,956.97,46.47,27.25,2.83,0.0
20200311:1509,612.96,801.95,38.0,26.26,2.9,0.0
20200311:1609,447.3,579.48,27.5,25.11,2.55,0.0
20200311:1709,229.4,314.97,15.9,23.66,2.0,0.0
20200311:1809,16.06,40.22,3.73,21.59,1.52,0.0
20200311:1909,0.0,0.0,0.0,19.52,1.31,0.0
20200311:2009,0.0,0.0,0.0,18.2,0.48,0.0
20200311:2109,0.0,0.0,0.0,16.54,1.66,0.0
20200311:2209,0.0,0.0,0.0,15.83,2.14,0.0
20200311:2309,0.0,0.0,0.0,15.19,2.07,0.0
20200312:0009,0.0,0.0,0.0,14.58,1.86,0.0
20200312:0109,0.0,0.0,0.0,14.08,1.79,0.0
20200312:0209,0.0,0.0,0.0,13.31,1.72,0.0
20200312:0309,0.0,0.0,0.0,12.47,1.79,0.0
20200312:0409,0.0,0.0,0.0,11.68,1.72,0.0
20200312:0509,0.0,0.0,0.0,10.93,1.66,0.0
20200312:0609,0.0,0.0,0.0,10.36,1.59,0.0
20200312:0709,18.67,32.25,4.77,9.83,1.38,0.0
20200312:0809,239.16,318.25,16.93,12.62,0.69,0.0
20200312:0909,445.09,572.3,28.5,17.9,0.34,0.0
20200312:1009,590.7,779.31,38.93,20.84,0.14,0.0
20200312:1109,655.15,876.25,47.28,22.88,0.83,0.0
20200312:1209,614.04,813.8,52.05,24.34,1.59,0.0
20200312:1309,628.59,830.63,51.87,25.05,2.28,0.0
20200312:1409,152.17,211.47,46.79,24.97,2.83,0.0
20200312:1509,165.26,226.63,38.25,24.32,3.03,0.0
20200312:1609,319.9,413.2,27.71,22.9,3.17,0.0
20200312:1709,134.37,187.19,16.09,20.89,2.62,0.0
20200312:1809,2.1,8.46,3.9,18.81,2.07,0.0
20200312:1909,0.0,0.0,0.0,16.71,1.52,0.0
20200312:2009,0.0,0.0,0.0,15.9,1.1,0.0
20200312:2109,0.0,0.0,0.0,15.34,1.1,0.0
20200312:2209,0.0,0.0,0.0,14.62,1.1,0.0
20200312:2309,0.0,0.0,0.0,14.07,1.03,0.0
20200313:0009,0.0,0.0,0.0,14.25,0.83,0.0
20200313:0109,0.0,0.0,0.0,14.86,0.34,0.0
20200313:0209,0.0,0.0,0.0,13.85,0.9,0.0
20200313:0309,0.0,0.0,0.0,13.14,1.31,0.0
20200313:0409,0.0,0.0,0.0,13.04,1.38,0.0
20200313:0509,0.0,0.0,0.0,12.88,1.17,0.0
20200313:0609,0.0,0.0,0.0,12.83,1.03,0.0
20200313:0709,18.37,34.14,5.05,13.09,0.83,0.0
20200313:0809,159.45,214.23,17.22,14.26,0.69,0.0
20200313:0909,317.27,403.45,28.81,15.5,0.9,0.0
20200313:1009,110.41,151.32,39.28,16.41,1.1,0.0
20200313:1109,201.32,264.88,47.66,17.82,1.24,0.0
20200313:1209,407.77,521.86,52.45,18.27,1.38,0.0
20200313:1309,679.14,889.34,52.24,19.21,1.59,0.0
20200313:1409,654.87,844.97,47.1,18.82,2.14,0.0
20200313:1509,608.89,776.58,38.51,18.52,2.21,0.0
20200313:1609,343.4,436.82,27.92,18.01,1.79,0.0
20200313:1709,201.92,271.0,16.27,17.8,1.79,0.0
20200313:1809,14.74,31.89,4.07,16.9,1.79,0.0
20200313:1909,0.0,0.0,0.0,15.64,1.93,0.0
20200313:2009,0.0,0.0,0.0,14.68,1.59,0.0
20200313:2109,0.0,0.0,0.0,13.95,1.1,0.0
20200313:2209,0.0,0.0,0.0,14.13,0.21,0.0
20200313:2309,0.0,0.0,0.0,12.45,1.1,0.0
20200314:0009,0.0,0.0,0.0,12.04,1.17,0.0
20200314:0109,0.0,0.0,0.0,12.09,1.03,0.0
20200314:0209,0.0,0.0,0.0,12.8,0.62,0.0
20200314:0309,0.0,0.0,0.0,12.8,0.41,0.0
20200314:0409,0.0,0.0,0.0,12.25,0.76,0.0
20200314:0509,0.0,0.0,0.0,12.2,1.1,0.0
20200314:0609,0.0,0.0,0.0,12.11,1.24,0.0
20200314:0709,13.04,23.71,5.33,12.11,1.24,0.0
20200314:0809,85.77,117.53,17.51,12.6,1.24,0.0
20200314:0909,151.74,199.69,29.13,14.31,1.1,0.0
20200314:1009,430.65,546.73,39.62,16.41,0.9,0.0
20200314:1109,702.03,921.4,48.04,18.74,1.38,0.0
20200314:1209,752.58,998.55,52.85,20.35,2.0,0.0
20200314:1309,747.23,986.73,52.62,21.26,2.55,0.0
20200314:1409,578.98,742.29,47.41,21.37,3.1,0.0
20200314:1509,390.41,495.77,38.76,20.7,3.59,0.0
20200314:1609,276.21,353.96,28.13,19.55,3.66,0.0
20200314:1709,238.69,318.47,16.45,18.34,2.76,0.0
20200314:1809,23.94,51.87,4.23,16.93,2.55,0.0
20200314:1909,0.0,0.0,0.0,15.48,2.0,0.0
20200314:2009,0.0,0.0,0.0,14.8,1.31,0.0
20200314:2109,0.0,0.0,0.0,14.24,0.83,0.0
20200314:2209,0.0,0.0,0.0,14.11,0.62,0.0
20200314:2309,0.0,0.0,0.0,14.02,0.48,0.0
20200315:0009,0.0,0.0,0.0,13.58,0.69,0.0
20200315:0109,0.0,0.0,0.0,13.47,0.69,0.0
20200315:0209,0.0,0.0,0.0,13.63,0.41,0.0
20200315:0309,0.0,0.0,0.0,13.55,0.28,0.0
20200315:0409,0.0,0.0,0.0,13.32,0.62,0.0
20200315:0509,0.0,0.0,0.0,12.88,0.83,0.0
20200315:0609,0.0,0.0,0.0,12.5,0.97,0.0
20200315:0709,21.99,40.41,5.61,13.84,0.28,0.0
20200315:0809,55.18,80.83,17.8,14.64,0.21,0.0
20200315:0909,104.2,144.18,29.44,16.91,0.97,0.0
20200315:1009,177.46,236.06,39.97,18.73,1.66,0.0
20200315:1109,260.94,339.55,48.42,20.02,2.34,0.0
20200315:1209,149.25,203.01,53.26,20.8,2.83,0.0
20200315:1309,247.93,324.02,52.99,20.9,3.17,0.0
20200315:1409,265.47,344.55,47.73,20.58,3.24,0.0
20200315:1509,158.53,213.34,39.01,20.06,3.03,0.0
20200315:1609,132.91,181.23,28.34,19.61,2.97,0.0
20200315:1709,57.27,86.11,16.63,18.57,3.03,0.0
20200315:1809,6.06,15.04,4.4,17.45,2.9,0.0
20200315:1909,0.0,0.0,0.0,15.97,2.41,0.0
20200315:2009,0.0,0.0,0.0,15.43,1.79,0.0
20200315:2109,0.0,0.0,0.0,15.18,1.86,0.0
20200315:2209,0.0,0.0,0.0,14.86,2.07,0.0
20200315:2309,0.0,0.0,0.0,14.75,2.07,0.0
20200316:0009,0.0,0.0,0.0,14.73,1.93,0.0
20200316:0109,0.0,0.0,0.0,14.57,1.79,0.0
20200316:0209,0.0,0.0,0.0,14.45,1.66,0.0
20200316:0309,0.0,0.0,0.0,14.3,1.66,0.0
20200316:0409,0.0,0.0,0.0,14.13,1.66,0.0
20200316:0509,0.0,0.0,0.0,14.14,1.86,0.0
20200316:0609,0.0,0.0,0.0,14.07,2.83,0.0
20200316:0709,12.69,23.5,5.89,13.93,3.45,0.0
20200316:0809,112.72,151.15,18.1,13.66,4.34,0.0
20200316:0909,304.18,378.37,29.76,13.53,4.28,0.0
20200316:1009,325.49,404.52,40.32,13.79,4.28,0.0
20200316:1109,419.43,520.29,48.81,14.41,4.07,0.0
20200316:1209,683.3,858.59,53.66,15.3,4.07,0.0
20200316:1309,755.32,955.67,53.36,15.4,4.21,0.0
20200316:1409,683.83,858.06,48.04,15.58,4.07,0.0
20200316:1509,574.2,712.73,39.26,15.45,3.93,0.0
20200316:1609,462.44,572.94,28.55,15.24,3.86,0.0
20200316:1709,242.9,317.45,16.81,14.58,3.59,0.0
